"doc_id","text"
220,"""Companies creating AI technology have a responsibility to ensure that it is safe, secure, and remains under human control"", Brad Smith, Microsoft vice chair and president, said in a statement. Google, OpenAI, Microsoft, and Anthropic will be the founding members of the Frontier Model Forum, an umbrella group for the generative AI industry."
221,"How can local governments regulate generative AI - Just ask ChatGPT It is important to note that the regulation of generative AI is a rapidly evolving field, and local governments should engage with experts, stakeholders and the wider AI community to develop informed and effective regulatory approaches. Hardly a day goes by without some new warning or danger being reported about artificial intelligence (AI) and, in particular, generative AI."
222,"The article focuses on the benefits of generative Artificial intelligence (AI) in improving the findability of content on websites. It discusses how generative AI can reduce the reliance on traditional FAQs, streamline search experiences, and reduce costs while highlighting the importance of combining AI-driven search with human oversight for optimal results."
223,"Since announcing a partnership with ChatGPT creatorOpenAI earlier this year, Microsoft has been deployingits Copilot generative AI assistant across its suite ofMicrosoft 365 business productivity and collaborationapps. To help businesses deploy the AI assistant across theirdata, Microsoft created the Semantic Index for Copilot, a""sophisticated map of your personal and your companydata"", and a ""pre-requisite"" to adopting Copilot withinan organization. Feature Microsoft's generative AI assistant is about to beintegrated in a host of workplace apps."
224,"And if they aren't able toarticulate what they want to another human, their ability todirect a faster, non-human AI is going to be inadequate, too.The AI tool will respond to what it thinks it was asked and,unless it has some kind of unique filter, should spit out aresult faster. Windows Into The Future Opinion Chatter about generative AI is seemingly everywhere thesedays, and seemingly overhyped. Generative AI and app creation One of the big problems when working with IT or acontractor to create an application is that communicationbetween the parties tends to be suboptimal."
225,"Cisco relies on in-house AI technology In order to develop these capabilities, Cisco is using its own large language models rather than working with other third-party generative AI vendors. Cisco is adding new generative AI capabilities to its Webex collaboration platform, aimed at increasing productivity through automated meeting and conversation summaries."
226,"The article offers information on what the nurse leaders need to know when using generative artificial intelligence (AI) in practice settings, including the definition of generative AI, its benefits in nursing and the best practices for use."
227,"Large language models (LLMs) are the foundation of chatbots like OpenAI's ChatGPT and Google's Bard. LLMs are trained on massive amounts of data, including articles, books, and internet resources, to generate human-like responses to natural language queries. They work by predicting the next word based on what they have already seen. LLMs can be biased if the data they ingest is biased, and prompt engineering is a process that allows users to train LLMs for specific purposes. Smaller LLMs are being developed to reduce costs and improve efficiency. However, there are concerns about privacy, security, and ethical use of data collected by LLMs. Efforts are being made by governments and organizations to regulate and govern AI tools."
228,"Thomson Reuters has developed a genAI platform to address the increasing demand for industry-specific information and stay ahead of competitors. The cloud-based platform integrates with Microsoft Copilot and allows employees and clients to build new AI skills using reusable components. The company has successfully rolled out three AI-enabled solutions for attorneys and plans to continue developing more. The genAI platform has enabled non-technologists to experiment with AI and contribute to innovation and ideation. Privacy and security are prioritized throughout the development process to ensure compliance with data-sensitive industries."
229,"This article discusses the challenges and considerations that enterprise executives face when choosing a partner for generative artificial intelligence (genAI) projects. The author emphasizes the importance of trust and verification in selecting a genAI partner, as companies are entrusting sensitive data to third-party providers. The article suggests that a combination of building in-house models, relying on big players like AWS or Google, and working with smaller specialty companies may be the most effective approach. The author also highlights concerns about data security, the ability to audit third-party operations, and the lack of visibility into adversarial attacks on AI systems."
230,"Sedgwick, a global insurance claims administrator, has implemented generative artificial intelligence (genAI) to streamline its document summarization process. The genAI tool, called Sidekick, uses OpenAI's GPT-4 to accurately summarize multi-page claims documents. Sedgwick has successfully piloted the tool, processing over 14,000 documents and receiving overwhelmingly positive feedback. The company plans to expand the use of genAI and integrate it into their claims system to further improve efficiency and provide prescriptive recommendations to examiners."
231,"A new study by Kaspersky Research suggests that generative artificial intelligence (genAI) could help address skills shortages in the job market. The study found that 40% of surveyed C-level executives plan to use genAI tools like ChatGPT to automate tasks and fill critical skills gaps. However, 91% of respondents admitted to not fully understanding how genAI works. While genAI offers benefits, there are concerns about high costs, uncertain return on investment, and potential exposure of sensitive data. Forrester Research predicts that genAI will replace 90,000 jobs in 2023 and 2.4 million jobs by 2030, but job losses will be lower than expected."
232,"The widespread adoption of advanced technologies, such as Artificial Intelligence (AI), Machine Learning, and Robotics, is rapidly increasing across the globe. This accelerated pace of change is drastically transforming various aspects of our lives and work, resulting in what is now known as Industry 4.0. As businesses integrate these technologies into their daily operations, it significantly impacts their work tasks and required skill sets. However, the approach to technological transformation varies depending on location, industry, and organization. However, there are no published methods that can adequately forecast the adoption of technology and its impact on society. It is essential to prepare for the future impact of Industry 4.0, and this requires policymakers and business leaders to be equipped with scientifically validated models and metrics. Data-driven scenario planning and decision-making can lead to better outcomes in every area of the business, from learning and development to technology investment. However, the current literature falls short in identifying effective and globally applicable strategies to predict the adoption rate of emerging technologies. Therefore, this paper proposes a novel parametric mathematical model for predicting the adoption rate of emerging technologies through a unique data-driven pipeline. This approach utilizes global indicators for countries to predict the technology adoption curves for each country and industry. The model is thoroughly validated, and the paper outlines highly promising evaluation results. The practical implications of this proposed approach are significant because it provides policymakers and business leaders with valuable insights for decision-making and scenario planning."
233,"Generative AI refers to machine learning algorithms that can form new meaning from unstructured or structured input, such as text, images, and video."
234,"The article focuses on the concerns and risks associated with generative AI tools like ChatGPT. It raises questions about the spread of misinformation, liability for content, professional obligations, education implications, bias in AI, privacy, and sustainability, among other issues. It author emphasizes the need to carefully consider the implications of these tools as they become more prevalent."
235,"The article focuses on the cautious approach that Forrester Research advises customer service organizations to take when implementing artificial intelligence (AI) technology, particularly generative bots and chatbots. Topics discussed include the limitations of optimizing chatbots and interactive voice response systems, with diminishing returns expected beyond a certain percentage."
236,"The article focuses on the policy of the Journal of Children's Orthopaedics (JCO) regarding the use of large language models (LLMs) and generative AI by authors in preparing their articles. Topics include the recognition of LLMs as valuable productivity tools with limitations; the importance of human intervention to ensure accuracy and appropriateness of content; and the potential biases, inaccuracies, and contextual understanding challenges associated with the use of LLMs in submissions."
237,"Amazon's intent to overhaul its search feature inside its application comes at a time when rivals such as Microsoft and Google have been adding their own generative AI engine across their product portfolio. Amazon is working on infusing generative AI features akin to OpenAI's ChatGPT and Google's Bard AI to its shopping application and website in an effort to provide a more conversational experience, job postings on the company's career section indicate."
238,"Slack GPT brings native generative AI to chat app: Not long after announcing its ChatGPT integration, Slack has unveiled plans to incorporate generative AI features such as conversation summaries directly into its collaboration platform. It expanded on those plans Thursday at parent company Salesforce's World Tour event with the unveiling of Slack GPT, which will see generative AI integrated directly into the Slack app in a variety of ways. Slack's popularity as a workplace collaboration platform provides it with some important advantages when incorporating generative AI, said Ali Rayl, Slack's vice president of customer experience."
239,"Using generative AI to code is dangerous for a variety of reasons, but its efficiencies will tempt corporate leaders -- especially CIOs and business execs -- to use it anyway. Do the productivity gains from generative AI outweigh the security risks? Hodgson noted Saha's comments about AI efficiencies being highest when replacing junior coders."
240,"Do the productivity gains from generative AI outweigh the security risks? Hodgson noted Saha's comments about AI efficiencies beinghighest when replacing junior coders. Using generative AI to code is dangerous for a variety of reasons, but its efficiencies will tempt corporate leaders -- especially CIOs and business execs -- to use it anyway."
241,"In the very near future, its possible everything from brand assets to illustrations will be partially created using Adobe's creative and enterprise apps and its own generative AI, Firefly Adobe enters the age of generative AI with creative and enterprise apps: Reality? Soon, apparently, everything from brand assets to corporate videos to illustrations will be created differently using Adobe's creative and enterprise apps and its generative AI tool Firefly."
242,"Generative artificial intelligence (AI), applied to power simulation technologies, offers profound opportunities to supplement practitioner workflows in crisis management, conceptualized by Coombs as the prevention, preparation, response, and revision phases. Synthesizing insights from crisis management and computer science, I envision how such tools could aid crisis practitioners in decision-making and communication, augmenting processes for the identification of organizational risks and the iteration of communication strategies and content. I then discuss opportunities, risks, and critical outstanding questions and ethical considerations given current and foreseeable instantiations of AI in driving simulation tools for crisis management."
243,"Where does that data go?"" Data analytics expert Pam Baker -- author of Data Divination: Big Data Strategies -- saw the Zoom move as potentially even more dangerous. Zoom goes for a blatant genAI data grab; enterprises, beware (updated): Zoom stirred up a kerfuffle this month when it amended its terms of service to make execs comfortable that it wouldn't use Zoom data to train generative AI models. Zoom discussed this in a blog post: ""There is certain information about how our customers in the aggregate use our product -- telemetry, diagnostic data, etc."
244,"As generative AI becomes entrenched in our everyday lives, concerns about the potential consequences of biased models on minority groups need to be addressed, says Google cloud executive Helen Kelisky However, an AI system can only be as good as the data it is trained on, and with humans controlling the data and criteria behind every AI-enhanced solution, more diverse human input means better results. Q&A: Why does Google care so much about hiring diverse AI teams?."
245,"Generative AI, led by Microsoft and Microsoft-backed OpenAI, has turned into what seems an unstoppable juggernaut. Multibillion-dollar lawsuits against Microsoft and OpenAI The FTC move isn't the only legal action Microsoft and OpenAI face. The seemingly unstoppable juggernaut launched by OpenAI late last year might soon run into headwinds from the FTC, the EU -- and in court."
246,"Bloomberg (which also today reported plans for Apple to buy Disney), says Apple has crafted its own internal framework to build LLM models. Apple has created its own generative AI tools to compete with large language model (LLM) services such as ChatGPT or Google Bard, Bloomberg reported on Wednesday."
247,"News The updates introduced at the company's annualInspire conference also include a new Sales Copilot andtwo new copilot abilities for Micosoft's Dynamics 365marketing suite. Related: * Generative AI * Microsoft 365 * Productivity Software * ERP Systems * Enterprise Applications * Microsoft Microsoft."
248,"Where we need AI to focus When it comes to productivity improvements, the first step must be to analyze where improvements are needed, identify the critical paths, and then develop a plan that will have the greatest impact on productivity at the lowest cost. Years ago, one of my clients had a ""productivity problem"" and instituted a program called ""back to basics"" -- employees had to clock-in and clock-out because management was convinced they were skipping out on work. Digital transformation, AI, and the productivity problem: There's a lot of talk about generative AI could boost productivity at companies in the midst of digital transformation."
249,"News The idea is that IT admins can use natural languageto create scripts for fleets of managed Macs Apple Vision may mix reality, but the news hasn't shiftedthis year's big storyline: the steady progress ofGenerative AI. The company has introduced Mosyle AIScript, which it saysis the first generative AI-powered macOS scripting tool.The thinking is that IT admins can use natural languagewith it to create scripts to manage Mac hardware fleets. Related: * Apple * Mobile Device Management * IT Management * MacOS * Genterative AI."
250,"Adobe's latest product offering is Firefly, a generative-AI powered image maker that is designed to be ""safe for commercial use"" -- so much so that Adobe is offering IP indemnification for any legal issues arising from its use. The indemnification offer is similar to the one available for Adobe's Stock assets product -- though not, according to an Adobe spokesperson, identical."
251,"One of the bills introduced in the Senate necessitates US government bodies or agencies to let citizens or users know when AI is being used to interact with them. US lawmakers on Thursday introduced two bills related to artificial intelligence in the Senate as the proliferation of the technology continues to gather momentum after the launch of Microsoft-owned OpenAI's generative AI driven ChatGPT and Google's Bard."
252,"The article discusses the potential risks and implications of generative Artificial Intelligence such as copyright infringement, as it relies on content created by others. It explores the conflicting interests between protecting intellectual property and promoting AI development, and highlights the challenges of proving liability and ensuring accuracy in AI-generated content."
253,"The DataStax executive discusses generative AI's relationship with the cloud, private data centers and data analytics."
254,"AI Chat Bots such as ChatGPT are revolutionizing our AI capabilities, especially in text generation, to help expedite many tasks, but they introduce new dilemmas. The detection of AI-generated text has become a subject of great debate considering the AI text detector’s known and unexpected limitations. Thus far, much research in this area has focused on the detection of AI-generated text; however, the goal of this study was to evaluate the opposite scenario, an AI-text detection tool's ability to discriminate human-generated text. Thousands of abstracts from several of the most wellknown scientific journals were used to test the predictive capabilities of these detection tools, assessing abstracts from 1980 to 2023. We found that the AI text detector erroneously identified up to 8% of the known real abstracts as AI-generated text. This further highlights the current limitations of such detection tools and argues for novel detectors or combined approaches that can address this shortcoming and minimize its unanticipated consequences as we navigate this new AI landscape."
255,"Or imagine a competitor gaining access to thiskind of information; they could effectively create a digitalclone of the firm -- and use it to better anticipate andmore aggressively respond to competitive actions by thecompany using generative AI. It gets better -- and worse Once you aggregate training sets across a company, you couldgain insights about the firm's operations that could lead toa far more efficient and profitable company. Opinion Windows Into The Future While AI-based tools could deliver a major boost inproductivity and efficiency, there's a dark side to them, aswell Generative AI continues to take the world by storm, butthere are growing concerns this technology could, if notaggressively managed and regulated, do a great deal of harm."
256,"New types of jobs might be needed down the road, from achief AI officer to AI trainers, auditors, and promptengineers who understand how to create queries tailored foreach generative AI tool so you get the results you want. Indeed, generative AI ""can be wrong more than it's right,""says Alex Zhavoronkov, CEO of Insilico Medicine, apharmaceutical and AI firm that has based its businessmodel around generative AI."
257,"Cisco At a briefing this week, Cisco announced plans to use AI aggressively to manage and secure networks. Generative AI tools can be a force for good -- increased productivity, new skills -- or bad, if workers can be replaced. Microsoft's move is foundational in that it will force users of Microsoft products to learn how to interact with AI tools and make those users more valuable as AI moves into more products."
258,"Google has added code generation and debugging capabilities to its generative AI offering, dubbed Bard AI, in response to rival offerings from Microsoft's GitHub Copilot and Amazon CodeWhisperer. GitHub Copilot, which uses OpenAI's GPT-3 engine for providing generative AI capabilities, has already announced its next iteration Copilot X and expects to add more advanced generative AI-based capabilities to the software tool."
259,"News As generative AI continues to roil the tech industry, governmentsaround the world are starting to consider regulation in order tocombat its potential to aid criminality and promote bias. The news comes on the same day that the CyberspaceAdministration of China (CAC) unveiled a number of draft measuresfor managing generative AI services, including making providersresponsible for the validity of data used to train generative AI tools."
260,"Opinion Generative AI is here to stay, and companies arealready finding innovate ways to roll it into theirproducts Generative artificial intelligence (AI), particularlyChatGPT, has taken an AI market that seemed far off intothe future and quickly catapulted it into our world. Generative AI could look at an email sentfrom someone else and craft a recommended response,allowing Ballmer (or anyone who hates writing emails) toappear much more empathetic and engaged withoutsignificantly increasing their workload. This tool would have allowed Ballmer todo his limited-response thing, but still deliver a far morecomplete email."
261,"DuckDuckGo, the search engine focused on user privacy, announced today that it is rolling out an AI-powered instant answer service, which it calls DuckAssist, as part of a larger plan to integrate AI across its product lineup. DuckAssist, in broad strokes, is a generative AI system that uses technology from ChatGPT makers OpenAI as well as another generative AI company, Anthropic, to generate its own answers to certain types of question."
262,"The past decade has represented something of an AI summer both for researchers looking to improve AI learning capabilities and companies seeking to deploy AIs. If the frothy bubble of business expectations around generative AI builds to unsustainable levels and eventually bursts, that could also dampen future AI development in general, says Sasha Luccioni, an AI research scientist at Hugging Face. ChatGPT is very far from that goal but, on 22 March, AI researchers such as Yoshua Bengio and tech industry figures such as Elon Musk signed an open letter asking research labs to pause giant AI experiments, while referring to AIs as ""nonhuman minds that might eventually outnumber, outsmart, obsolete and replace us"". 2022 OpenAI makes an AI chatbot known as ChatGPT publicly available, accelerating a scramble to commercialise generative AI and large language models. mid-2023 The European Union passes its Artificial Intelligence Act."
263,"AbstractWith the advancement of AI, even people without professional experience can create artworks using AI-based image generation systems like DALL-E 2. However, little is known about how users interact with these new AI algorithms, much less how AI-infused systems can be designed. We explore the user experience of these new technologies and their potential to foster creativity. A user study was carried out where 13 participants executed tasks of creating artworks using DALL-E 2 alongside in-depth interviews related to their experience. The results showed that users had ambivalent opinions regarding the algorithm’s performance. When users were informed of the system’s capabilities, they subsequently utilized more specific prompts to generate the intended output. Users also optimized their prompts (the queries they entered to create artworks) based on how algorithms worked to achieve their desired outcome. The users wanted a two-way interaction where AI explained the outcome and accepted feedback rather than simply accepting unilateral instructions. We discuss the implications for designing interfaces that maximize creativity while providing comfort for the users."
264,"The article highlights the collaboration between United States Steel and Google Cloud to develop generative artificial intelligence (GenAI) applications for the manufacturing industry, aiming to enhance efficiencies and improve employee experiences. The first GenAI-driven application is set to streamline equipment maintenance, save time and costs, and boost productivity."
265,"The market for software that uses artificial intelligence (AI) to automate tasks and generate content in response to user prompts is expected to grow nearly four-fold through 2027. AI AD&D Software represents tools and platforms used primarily by developers to build, test, and deploy software, such as AI-powered app development, AI-powered data management, and AI-powered app platforms."
266,"""Think of it as the process of interacting with a machine to get it to produce the results you'd like"", said Sameer Maskey, a Columbia University AI professor and CEO of Fusemachines, an AI consultancy. So important that Erick Brethenoux, an adjunct professor at the Illinois Institute of Technology, said all of his engineering graduate students have put artificial intelligence (AI) prompt-engineering skills on their resumes and LinkedIn profiles."
267,"The article focuses on the challenges posed by generative artificial intelligence (GAI) to the balance between copyright and free speech in the publishing industry. Topics include how GAI's ability to mimic human responses challenges copyright protection, the application of fair use in the context of GAI-generated content, and the need for the publishing industry to actively shape the future of AI through legislation, licensing, and curated data sets."
268,"Google today announced it is embedding its conversational,Bard chatbot into many of its most popular apps, allowing users to get human-like responses to questions, summarize Gmail messages, and search Google Docs and Youtube. Microsoft has added ChatGPT functionality to its suite of Microsoft 365 business productivity and collaboration apps through its own Copilot chatbot assistant."
269,"Background: Generative Artificial Intelligence (AI) technology, for instance Chat Generative Pre-trained Transformer (ChatGPT), is continuously evolving, and its userbase is growing. These technologies are now being experimented by the businesses to leverage their potential and minimise their risks in business operations. The continuous adoption of the emerging Generative AI technologies will help startups gain more and more experience with adoptions, helping them to leverage continuously evolving technological innovation landscape. However, there is a dearth of prior research on ChatGPT adoption in the startup context, especially from Entrepreneur perspective, highlights the urgent need for a thorough investigation to identify the variables influencing this technological adoption. The primary objective of this study is to ascertain the factors that impact the uptake of ChatGPT technology by startups, anticipate their influence on the triumph of companies, and offer pragmatic suggestions for various stakeholders, including entrepreneurs, and policymakers. Method and analysis: This study attempts to explore the variables impacting startups' adoption of ChatGPT technology, with an emphasis on comprehending entrepreneurs' attitudes and perspectives. To identify and then empirically validate the Generative AI technology adoption framework, the study uses a two-stage methodology that includes experience-based research, and survey research. The research method design is descriptive and Correlational design. Stage one of the research study is descriptive and involves adding practical insights, and real-world context to the model by drawing from the professional consulting experiences of the researchers with the SMEs. The outcome of this stage is the adoption model (also called as research framework), building Upon Technology Adoption Model (TAM), that highlight the technology adoption factors (also called as latent variables) connected with subset of each other and finally to the technology adoption factor (or otherwise). Further, the latent variables and their relationships with other latent variables as graphically highlighted by the adoption model will be translated into the structured questionnaire. Stage two involves survey based research. In this stage, structured questionnaire is tested with small group of entrepreneurs (who has provided informed consent) and finally to be distributed among startup founders to further validate the relationships between these factors and the level of influence individual factors have on overall technology adoption. Partial Least Squares Structural Equation Modeling (PLS-SEM) will be used to analyze the gathered data. This multifaceted approach allows for a comprehensive analysis of the adoption process, with an emphasis on understanding, describing, and correlating the key elements at play. Discussion: This is the first study to investigate the factors that impact the adoption of Generative AI, for instance ChatGPT technology by startups from the Entrepreneurs perspectives. The study's findings will give Entrepreneurs, Policymakers, technology providers, researchers, and Institutions offering support for entrepreneurs like Academia, Incubators and Accelerators, University libraries, public libraries, chambers of commerce, and foreign embassies important new information that will help them better understand the factors that encourage and hinder ChatGPT adoption. This will allow them to make well-informed strategic decisions about how to apply and use this technology in startup settings thereby improving their services for businesses."
270,"Psoriatic arthritis (PsA) is a chronic inflammatory systemic disease whose activity is often assessed using the Disease Activity Score 28 (DAS28-CRP). The present study was designed to investigate the significance of individual components within the score for PsA activity. A cohort of 80 PsA patients (44 women and 36 men, aged 56.3 ± 12 years) with a range of disease activity from remission to moderate was analyzed using unsupervised and supervised methods applied to the DAS28-CRP components. Machine learning-based permutation importance identified tenderness in the metacarpophalangeal joint of the right index finger as the most informative item of the DAS28-CRP for PsA activity staging. This symptom alone allowed a machine learned (random forests) classifier to identify PsA remission with 67% balanced accuracy in new cases. Projection of the DAS28-CRP data onto an emergent self-organizing map of artificial neurons identified outliers, which following augmentation of group sizes by emergent self-organizing maps based generative artificial intelligence (AI) could be defined as subgroups particularly characterized by either tenderness or swelling of specific joints. AI-assisted re-evaluation of the DAS28-CRP for PsA has narrowed the score items to a most relevant symptom, and generative AI has been useful for identifying and characterizing small subgroups of patients whose symptom patterns differ from the majority. These findings represent an important step toward precision medicine that can address outliers."
271,"Developing compounds with novel structures is important for the production of new drugs. From an intellectual perspective, confirming the patent status of newly developed compounds is essential, particularly for pharmaceutical companies. The generation of a large number of compounds has been made possible because of the recent advances in artificial intelligence (AI). However, confirming the patent status of these generated molecules has been a challenge because there are no free and easy-to-use tools that can be used to determine the novelty of the generated compounds in terms of patents in a timely manner; additionally, there are no appropriate reference databases for pharmaceutical patents in the world. In this study, two public databases, SureChEMBL and Google Patents Public Datasets, were used to create a reference database of drug-related patented compounds using international patent classification. An exact structure search system was constructed using InChIKey and a relational database system to rapidly search for compounds in the reference database. Because drug-related patented compounds are a good source for generative AI to learn useful chemical structures, they were used as the training data. Furthermore, molecule generation was successfully directed by increasing and decreasing the number of generated patented compounds through incorporation of patent status (i.e., patented or not) into learning. The use of patent status enabled generation of novel molecules with high drug-likeness. The generation using generative AI with patent information would help efficiently propose novel compounds in terms of pharmaceutical patents. Scientific contribution: In this study, a new molecule-generation method that takes into account the patent status of molecules, which has rarely been considered but is an important feature in drug discovery, was developed. The method enables the generation of novel molecules based on pharmaceutical patents with high drug-likeness and will help in the efficient development of effective drug compounds."
272,"Large language models are the algorithmic basis for chatbots like OpenAI's ChatGPT and Google's Bard. What are LLMs, and how are they used in generative AI? When LLMs focus their AI and compute power on smaller datasets, however, they perform as well or better than the enormous LLMs that rely on massive, amorphous data sets. The chatbot's foundation is the GPT large language model (LLM), a computer algorithm that processes natural language inputs and predicts the next word based on what it's already seen."
273,"Microsoft advances mixed-reality plans with Teams avatars, Mesh update: Though generative AI was the main focus at Build this year, Microsoft is still working on a ""metaverse"" for the workplace Amid the numerous AI-related announcements at its Build developer conference this week, Microsoft also delivered updates on key aspects of its vision of a workplace ""metaverse"", with the release of avatars for Teams and private previews of its Mesh mixed-reality tools. Avatars within Teams are now generally available to Microsoft 365 Business and Enterprise customers via the Teams desktop client for macOS and Windows."
274,"Adobe has thrown a grenade at the heart of the creative industries with the introduction of generative AI-driven features in the latest beta of its classic creative application, Photoshop. The beta release of Photoshop is Adobe's first Creative Cloud application to integrate Firefly, though it's worth pointing out the company has been integrating AI in its products ever since it introduced Adobe Sensei."
275,"Altman suggested the US government craft a three-point AI oversight plan: Form a government agency charged to license large AI models and revoke those that don't meet government standards. Leaders of the Group of Seven (G7) nations on Saturday called for the creation of technical standards to keep artificial intelligence (AI) in check, saying AI has outpaced oversight for safety and security. G7 leaders warn of AI dangers, say the time to act is now: Over the weekend, G7 members met to discuss a variety of issues, including one topic not normally on the agenda: the dangers of generative AI."
276,"ChatGPT's paid subscribers gain access this week to plugins allowing access to websites and Bing internet search, according to Microsoft-backed OpenAI, the creator of the generative AI application. Plugins, including browsing, will roll out to users of ChatGPT's paid tier, which was dubbed ChatGPT Plus on its release in February."
277,"In October, the administration unveiled a blueprint for a so-called ""AI Bill of Rights"" as well as an AI Risk Management Framework; more recently, it has pushed for a roadmap for standing up a National AI Research Resource. The Biden administration today announced a new effort to address the risks around generative artificial intelligence (AI), which has been advancing at breakneck speeds and setting off alarm bells among industry experts. Technologies such as ChatGPT."
278,"The article focuses on Accenture's report highlighting generative artificial intelligence (AI) and other rapidly evolving technologies as catalysts for a future where the physical and digital worlds become interconnected."
279,"Generative AI is about to destroy your company. Stunningly, some enterprise execs seem to be just fine with that -- as long as AI continues to code quickly and for so little money One option that's been bandied about would see junior programmers, who can be more efficiently replaced by AI than experienced coders, retrained as cybersecurity specialists who could not only fix AI-generated coding problems but handle other security tasks."
280,"You can highlighta term and ask Atlassian Intelligence to explain it withthe definition, source of information, internal subjectmatter experts, and how it connects to related work basedon the teamwork graph, Atlassian said. News The new AI capabilities, dubbed AtlassianIntelligence, are designed to help workers be moreefficient while ensuring users remain in controlof data Atlassian is rolling out new generative AI capabilitiesthat will be embedded in the company's entire portfolio ofworkforce management cloud products and are designed tohelp both service-based and project-based work teams bemore efficient."
281,"Though Apple doesn't yet have its own Designed InCupertino take on Generative AI waiting in the wings, it'sinevitable that as the risks of the ChatGPT model becomemore widely understood, the demand for private andsecure access to similar tools will only expand. Apple Holic Opinion Enterprise professionals may be buying into thegenerative AI hype without considering the risk of theseLLMs."
282,"Windows Into The Future Opinion Change is coming fast for many companies, courtesya raft of new AI-based tools like ChatGPT. At the moment,companies are focused on generative AI tools such asChatGPT -- largely because Microsoft is tacking hardto this technology."
283,"Artificial intelligence should help, not hinder,workers Where other collaboration and work management platforms havebeen adding generative AI capabilities to their offerings inrecent months, the new features unveiled by Asana todayrepresent ""pre-AI"" era, Hood said, while trying to give asense of the company's roadmap. News Work management platform Asana has announced three newfeatures designed to provide greater cross-organizationaltransparency and improved insights into how employees arecollaborating."
284,"The LLM used by Bard is a lightweight variant of LaMDA, Google's main natural-language processing model. Search and hyperscale computing giant Google said today that it has opened up access to Bard, a generative AI chatbot meant to compete with similar services offered by Microsoft and OpenAI, among others."
285,"The article discusses the role of librarians in helping patrons work with generative artificial intelligence (AI). Topics include the potential of this technology to automate repetitive, time-consuming task in many different fields, impact of the growing concern about the potential impact of generative AI on the jobs of screenwriters and actors, and ethical concerns on generative AI."
286,"Q&A: ChatGPT isn't sentient, it's a next-word prediction engine: Consulting firm Ernst & Young is already educating clients on how to create business models around generative AI engines like ChatGPT. Does hosting this AI-based chatbot technology eat a lot of CPU cycles and energy? But the heavy hype is creating unrealistic expectations, says Dan Diasio, EY's global artificial intelligence consulting leader Dan Diasio, EY's global artificial intelligence consulting leader, works with CIOs from Fortune 500 companies and has a deep understanding of generative AI and how it can benefit businesses."
287,"Generative AI expands the race for search and meaning - Implications for society and government Early this month Google's parent company Alphabet lost $1 billion in market value in one day when their highly promoted rollout of its new Bard AI search engine ad showing a factual error. When it comes to generative artificial intelligence (AI) the public is ready - but is the technology?."
288,"The article focuses on the use of Generative Artificial Intelligence (AI) models to improve content findability and employee productivity in the changing business landscape. Topics include the integration of Generative AI in intelligent search engines, the use of SmartFAQs and SmartSuggest products to automatically generate content and user intents, and the practical value of Generative AI for large organizations."
289,"The article discusses the potential of artificial intelligence (AI) in the field of talent development (TD). It emphasizes the need for understanding the capabilities and limitations of AI and the importance of actively shaping its application in TD. The article explains the two broad categories of AI: generative and nongenerative, and highlights their strengths and weaknesses. It explores the various ways in which generative AI can be integrated into talent development, such as automating tasks, personalizing learning experiences, and providing performance support. The article also addresses the challenges and ethical considerations associated with AI integration and emphasizes the necessity of continuous learning and experimentation in this rapidly evolving field."
290,"The article offers information on integrating AI generative technology into education to enhance productivity, focusing on AI literacy for K–12 students. Topics include the background on AI, the potential and pitfalls of generative AI like ChatGPT, and introducing AI concepts to students. AI, evolving since the 1950s, has become integral in daily life, and generative AI has the transformative potential to revolutionize education."
291,"Generative AI tools, such as ChatGPT, have gained popularity and have been used for various purposes, including writing papers, generating music, and solving math problems. However, these tools can also produce misinformation and amplify biases. The development of AI systems has a long history, with early programs like ELIZA attempting to simulate conversation. While AI systems like ChatGPT show promise in reasoning, they are not equivalent to human thinking. The field of generative AI is evolving, with researchers exploring applications in fields like medicine and the military. However, there are concerns about the risks associated with these tools, such as cybersecurity and privacy issues. While AI can enhance efficiency, human ingenuity is still necessary to address the challenges that arise."
292,"As a large number of companies continue to test and deploy generative artificial intelligence (genAI) tools, many are at risk of AI errors, malicious attacks, and running afoul of regulators -- not to mention the potential exposure of sensitive data. About half of respondents to The Harris Poll, which was commissioned by systems integration services vendor Insight Enterprises, indicated they're embracing AI to ensure product quality and to address safety and security risks. -- and to avoid running afoul of regulators."
293,"During the past few months, Microsoft has been integrating Copilot widely across its various products, with versions of the AI assistant tailored to Dynamics, Microsoft 365, Power Platform, Security products, and others currently under development. But the effects of automation will be felt more widely, says Microsoft, which is bringing its Copilot AI assistant to applications used by those in frontline roles, whether that's retail workers or technicians out in the field. Microsoft 365 Copilot."
294,"Sales Copilot added to Microsoft 365 and Dynamics 365 Microsoft has also added a new role-based copilot, dubbedSales Copilot, as part of its Microsoft 365 and Dynamics365 offerings. News The updates introduced at the company's annualInspire conference also include a new Sales Copilot and twonew copilot abilities for Micosoft's Dynamics 365 marketingsuite."
295,"Apple Holic News The idea is that IT admins can use natural language tocreate scripts for fleets of managed Macs. Apple, Mac, macOS, Management, MDM, Mosyle Related: * Apple * Mobile Device Management * IT Management * MacOS * Genterative AI."
